Metric,Year and Month,Statistical value
Average Monthly Overtime(hours),2015 OCT,8.3
Average Monthly Overtime(hours),2015 NOV,7.9
Average Monthly Overtime(hours),2015 DEC,8.1
Average Monthly Overtime(hours),2016 JAN,8.1
Average Monthly Overtime(hours),2016 FEB,7.5
Average Monthly Overtime(hours),2016 MAR,8.2
Average Monthly Overtime(hours),2016 APR,8.6
Average Monthly Overtime(hours),2016 MAY,8.5
Average Monthly Overtime(hours),2016 JUN,8.3
Average Monthly Overtime(hours),2016 JUL,8.5
Average Monthly Overtime(hours),2016 AUG,8.3
Average Monthly Overtime(hours),2016 SEP,8.3
Average Monthly Overtime(hours),2016 OCT,9.8
Average Monthly Overtime(hours),2016 NOV,9.3
Average Monthly Overtime(hours),2016 DEC,9.1
Average Monthly Overtime(hours),2017 JAN,8.2
Average Monthly Overtime(hours),2017 FEB,7.7
Average Monthly Overtime(hours),2017 MAR,8.1
Average Monthly Overtime(hours),2017 APR,8.2
Average Monthly Overtime(hours),2017 MAY,8.2
Average Monthly Overtime(hours),2017 JUN,7.8
Average Monthly Overtime(hours),2017 JUL,7.8
Average Monthly Overtime(hours),2017 AUG,8
Average Monthly Overtime(hours),2017 SEP,7.8
Average Monthly Overtime(hours),2017 OCT,8.2
Average Monthly Overtime(hours),2017 NOV,8.1
Average Monthly Overtime(hours),2017 DEC,8.1
Average Monthly Overtime(hours),2018 JAN,8.1
Average Monthly Overtime(hours),2018 FEB,7.4
Average Monthly Overtime(hours),2018 MAR,8.3
Average Monthly Overtime(hours),2018 APR,8.3
Average Monthly Overtime(hours),2018 MAY,8.3
Average Monthly Overtime(hours),2018 JUN,8.2
Average Monthly Overtime(hours),2018 JUL,8.2
Average Monthly Overtime(hours),2018 AUG,8.1
Average Monthly Overtime(hours),2018 SEP,8.2
Average Monthly Overtime(hours),2018 OCT,8.2
Average Monthly Overtime(hours),2018 NOV,7.8
Average Monthly Overtime(hours),2018 DEC,7.8
Average Monthly Overtime(hours),2019 JAN,7.6
Average Monthly Overtime(hours),2019 FEB,7.2
Average Monthly Overtime(hours),2019 MAR,7.9
Average Monthly Overtime(hours),2019 APR,8.1
Average Monthly Overtime(hours),2019 MAY,8.1
Average Monthly Overtime(hours),2019 JUN,7.9
Average Monthly Overtime(hours),2019 JUL,7.5
Average Monthly Overtime(hours),2019 AUG,7.7
Average Monthly Overtime(hours),2019 SEP,7.7
Average Monthly Overtime(hours),2019 OCT,8
Average Monthly Overtime(hours),2019 NOV,8.1
Average Monthly Overtime(hours),2019 DEC,8.3
Average Monthly Overtime(hours),2020 JAN,8.3
Labor Productivity Index(Base Period:2016=100),1980 JAN,-
Labor Productivity Index(Base Period:2016=100),1980 FEB,-
Labor Productivity Index(Base Period:2016=100),1980 MAR,-
Labor Productivity Index(Base Period:2016=100),1980 APR,-
Labor Productivity Index(Base Period:2016=100),1980 MAY,-
Labor Productivity Index(Base Period:2016=100),1980 JUN,-
Labor Productivity Index(Base Period:2016=100),1980 JUL,-
Labor Productivity Index(Base Period:2016=100),1980 AUG,-
Labor Productivity Index(Base Period:2016=100),1980 SEP,-
Labor Productivity Index(Base Period:2016=100),1980 OCT,-
Labor Productivity Index(Base Period:2016=100),1980 NOV,-
Labor Productivity Index(Base Period:2016=100),1980 DEC,-
Labor Productivity Index(Base Period:2016=100),1981 JAN,-
Labor Productivity Index(Base Period:2016=100),1981 FEB,-
Labor Productivity Index(Base Period:2016=100),1981 MAR,-
Labor Productivity Index(Base Period:2016=100),1981 APR,-
Labor Productivity Index(Base Period:2016=100),1981 MAY,-
Labor Productivity Index(Base Period:2016=100),1981 JUN,-
Labor Productivity Index(Base Period:2016=100),1981 JUL,-
Labor Productivity Index(Base Period:2016=100),1981 AUG,-
Labor Productivity Index(Base Period:2016=100),1981 SEP,-
Labor Productivity Index(Base Period:2016=100),1981 OCT,-
Labor Productivity Index(Base Period:2016=100),1981 NOV,-
Labor Productivity Index(Base Period:2016=100),1981 DEC,-
Labor Productivity Index(Base Period:2016=100),1982 JAN,-
Labor Productivity Index(Base Period:2016=100),1982 FEB,-
Labor Productivity Index(Base Period:2016=100),1982 MAR,-
Labor Productivity Index(Base Period:2016=100),1982 APR,-
Labor Productivity Index(Base Period:2016=100),1982 MAY,-
Labor Productivity Index(Base Period:2016=100),1982 JUN,-
Labor Productivity Index(Base Period:2016=100),1982 JUL,-
Labor Productivity Index(Base Period:2016=100),1982 AUG,-
Labor Productivity Index(Base Period:2016=100),1982 SEP,-
Labor Productivity Index(Base Period:2016=100),1982 OCT,-
Labor Productivity Index(Base Period:2016=100),1982 NOV,-
Labor Productivity Index(Base Period:2016=100),1982 DEC,-
Labor Productivity Index(Base Period:2016=100),1983 JAN,-
Labor Productivity Index(Base Period:2016=100),1983 FEB,-
Labor Productivity Index(Base Period:2016=100),1983 MAR,-
Labor Productivity Index(Base Period:2016=100),1983 APR,-
Labor Productivity Index(Base Period:2016=100),1983 MAY,-
Labor Productivity Index(Base Period:2016=100),1983 JUN,-
Labor Productivity Index(Base Period:2016=100),1983 JUL,-
Labor Productivity Index(Base Period:2016=100),1983 AUG,-
Labor Productivity Index(Base Period:2016=100),1983 SEP,-
Labor Productivity Index(Base Period:2016=100),1983 OCT,-
Labor Productivity Index(Base Period:2016=100),1983 NOV,-
Labor Productivity Index(Base Period:2016=100),1983 DEC,-
Labor Productivity Index(Base Period:2016=100),1984 JAN,-
Labor Productivity Index(Base Period:2016=100),1984 FEB,-
Labor Productivity Index(Base Period:2016=100),1984 MAR,-
Labor Productivity Index(Base Period:2016=100),1984 APR,-
Labor Productivity Index(Base Period:2016=100),1984 MAY,-
Labor Productivity Index(Base Period:2016=100),1984 JUN,-
Labor Productivity Index(Base Period:2016=100),1984 JUL,-
Labor Productivity Index(Base Period:2016=100),1984 AUG,-
Labor Productivity Index(Base Period:2016=100),1984 SEP,-
Labor Productivity Index(Base Period:2016=100),1984 OCT,-
Labor Productivity Index(Base Period:2016=100),1984 NOV,-
Labor Productivity Index(Base Period:2016=100),1984 DEC,-
Labor Productivity Index(Base Period:2016=100),1985 JAN,-
Labor Productivity Index(Base Period:2016=100),1985 FEB,-
Labor Productivity Index(Base Period:2016=100),1985 MAR,-
Labor Productivity Index(Base Period:2016=100),1985 APR,-
Labor Productivity Index(Base Period:2016=100),1985 MAY,-
Labor Productivity Index(Base Period:2016=100),1985 JUN,-
Labor Productivity Index(Base Period:2016=100),1985 JUL,-
Labor Productivity Index(Base Period:2016=100),1985 AUG,-
Labor Productivity Index(Base Period:2016=100),1985 SEP,-
Labor Productivity Index(Base Period:2016=100),1985 OCT,-
Labor Productivity Index(Base Period:2016=100),1985 NOV,-
Labor Productivity Index(Base Period:2016=100),1985 DEC,-
Labor Productivity Index(Base Period:2016=100),1986 JAN,-
Labor Productivity Index(Base Period:2016=100),1986 FEB,-
Labor Productivity Index(Base Period:2016=100),1986 MAR,-
Labor Productivity Index(Base Period:2016=100),1986 APR,-
Labor Productivity Index(Base Period:2016=100),1986 MAY,-
Labor Productivity Index(Base Period:2016=100),1986 JUN,-
Labor Productivity Index(Base Period:2016=100),1986 JUL,-
Labor Productivity Index(Base Period:2016=100),1986 AUG,-
Labor Productivity Index(Base Period:2016=100),1986 SEP,-
Labor Productivity Index(Base Period:2016=100),1986 OCT,-
Labor Productivity Index(Base Period:2016=100),1986 NOV,-
Labor Productivity Index(Base Period:2016=100),1986 DEC,-
Labor Productivity Index(Base Period:2016=100),1987 JAN,-
Labor Productivity Index(Base Period:2016=100),1987 FEB,-
Labor Productivity Index(Base Period:2016=100),1987 MAR,-
Labor Productivity Index(Base Period:2016=100),1987 APR,-
Labor Productivity Index(Base Period:2016=100),1987 MAY,-
Labor Productivity Index(Base Period:2016=100),1987 JUN,-
Labor Productivity Index(Base Period:2016=100),1987 JUL,-
Labor Productivity Index(Base Period:2016=100),1987 AUG,-
Labor Productivity Index(Base Period:2016=100),1987 SEP,-
Labor Productivity Index(Base Period:2016=100),1987 OCT,-
Labor Productivity Index(Base Period:2016=100),1987 NOV,-
Labor Productivity Index(Base Period:2016=100),1987 DEC,-
Labor Productivity Index(Base Period:2016=100),1988 JAN,-
Labor Productivity Index(Base Period:2016=100),1988 FEB,-
Labor Productivity Index(Base Period:2016=100),1988 MAR,-
Labor Productivity Index(Base Period:2016=100),1988 APR,-
Labor Productivity Index(Base Period:2016=100),1988 MAY,-
Labor Productivity Index(Base Period:2016=100),1988 JUN,-
Labor Productivity Index(Base Period:2016=100),1988 JUL,-
Labor Productivity Index(Base Period:2016=100),1988 AUG,-
Labor Productivity Index(Base Period:2016=100),1988 SEP,-
Labor Productivity Index(Base Period:2016=100),1988 OCT,-
Labor Productivity Index(Base Period:2016=100),1988 NOV,-
Labor Productivity Index(Base Period:2016=100),1988 DEC,-
Labor Productivity Index(Base Period:2016=100),1989 JAN,-
Labor Productivity Index(Base Period:2016=100),1989 FEB,-
Labor Productivity Index(Base Period:2016=100),1989 MAR,-
Labor Productivity Index(Base Period:2016=100),1989 APR,-
Labor Productivity Index(Base Period:2016=100),1989 MAY,-
Labor Productivity Index(Base Period:2016=100),1989 JUN,-
Labor Productivity Index(Base Period:2016=100),1989 JUL,-
Labor Productivity Index(Base Period:2016=100),1989 AUG,-
Labor Productivity Index(Base Period:2016=100),1989 SEP,-
Labor Productivity Index(Base Period:2016=100),1989 OCT,-
Labor Productivity Index(Base Period:2016=100),1989 NOV,-
Labor Productivity Index(Base Period:2016=100),1989 DEC,-
Labor Productivity Index(Base Period:2016=100),1990 JAN,-
Labor Productivity Index(Base Period:2016=100),1990 FEB,-
Labor Productivity Index(Base Period:2016=100),1990 MAR,-
Labor Productivity Index(Base Period:2016=100),1990 APR,-
Labor Productivity Index(Base Period:2016=100),1990 MAY,-
Labor Productivity Index(Base Period:2016=100),1990 JUN,-
Labor Productivity Index(Base Period:2016=100),1990 JUL,-
Labor Productivity Index(Base Period:2016=100),1990 AUG,-
Labor Productivity Index(Base Period:2016=100),1990 SEP,-
Labor Productivity Index(Base Period:2016=100),1990 OCT,-
Labor Productivity Index(Base Period:2016=100),1990 NOV,-
Labor Productivity Index(Base Period:2016=100),1990 DEC,-
Labor Productivity Index(Base Period:2016=100),1991 JAN,-
Labor Productivity Index(Base Period:2016=100),1991 FEB,-
Labor Productivity Index(Base Period:2016=100),1991 MAR,-
Labor Productivity Index(Base Period:2016=100),1991 APR,-
Labor Productivity Index(Base Period:2016=100),1991 MAY,-
Labor Productivity Index(Base Period:2016=100),1991 JUN,-
Labor Productivity Index(Base Period:2016=100),1991 JUL,-
Labor Productivity Index(Base Period:2016=100),1991 AUG,-
Labor Productivity Index(Base Period:2016=100),1991 SEP,-
Labor Productivity Index(Base Period:2016=100),1991 OCT,-
Labor Productivity Index(Base Period:2016=100),1991 NOV,-
Labor Productivity Index(Base Period:2016=100),1991 DEC,-
Labor Productivity Index(Base Period:2016=100),1992 JAN,-
Labor Productivity Index(Base Period:2016=100),1992 FEB,-
Labor Productivity Index(Base Period:2016=100),1992 MAR,-
Labor Productivity Index(Base Period:2016=100),1992 APR,-
Labor Productivity Index(Base Period:2016=100),1992 MAY,-
Labor Productivity Index(Base Period:2016=100),1992 JUN,-
Labor Productivity Index(Base Period:2016=100),1992 JUL,-
Labor Productivity Index(Base Period:2016=100),1992 AUG,-
Labor Productivity Index(Base Period:2016=100),1992 SEP,-
Labor Productivity Index(Base Period:2016=100),1992 OCT,-
Labor Productivity Index(Base Period:2016=100),1992 NOV,-
Labor Productivity Index(Base Period:2016=100),1992 DEC,-
Labor Productivity Index(Base Period:2016=100),1993 JAN,-
Labor Productivity Index(Base Period:2016=100),1993 FEB,-
Labor Productivity Index(Base Period:2016=100),1993 MAR,-
Labor Productivity Index(Base Period:2016=100),1993 APR,-
Labor Productivity Index(Base Period:2016=100),1993 MAY,-
Labor Productivity Index(Base Period:2016=100),1993 JUN,-
Labor Productivity Index(Base Period:2016=100),1993 JUL,-
Labor Productivity Index(Base Period:2016=100),1993 AUG,-
Labor Productivity Index(Base Period:2016=100),1993 SEP,-
Labor Productivity Index(Base Period:2016=100),1993 OCT,-
Labor Productivity Index(Base Period:2016=100),1993 NOV,-
Labor Productivity Index(Base Period:2016=100),1993 DEC,-
Labor Productivity Index(Base Period:2016=100),1994 JAN,-
Labor Productivity Index(Base Period:2016=100),1994 FEB,-
Labor Productivity Index(Base Period:2016=100),1994 MAR,-
Labor Productivity Index(Base Period:2016=100),1994 APR,-
Labor Productivity Index(Base Period:2016=100),1994 MAY,-
Labor Productivity Index(Base Period:2016=100),1994 JUN,-
Labor Productivity Index(Base Period:2016=100),1994 JUL,-
Labor Productivity Index(Base Period:2016=100),1994 AUG,-
Labor Productivity Index(Base Period:2016=100),1994 SEP,-
Labor Productivity Index(Base Period:2016=100),1994 OCT,-
Labor Productivity Index(Base Period:2016=100),1994 NOV,-
Labor Productivity Index(Base Period:2016=100),1994 DEC,-
Labor Productivity Index(Base Period:2016=100),1995 JAN,-
Labor Productivity Index(Base Period:2016=100),1995 FEB,-
Labor Productivity Index(Base Period:2016=100),1995 MAR,-
Labor Productivity Index(Base Period:2016=100),1995 APR,-
Labor Productivity Index(Base Period:2016=100),1995 MAY,-
Labor Productivity Index(Base Period:2016=100),1995 JUN,-
Labor Productivity Index(Base Period:2016=100),1995 JUL,-
Labor Productivity Index(Base Period:2016=100),1995 AUG,-
Labor Productivity Index(Base Period:2016=100),1995 SEP,-
Labor Productivity Index(Base Period:2016=100),1995 OCT,-
Labor Productivity Index(Base Period:2016=100),1995 NOV,-
Labor Productivity Index(Base Period:2016=100),1995 DEC,-
Labor Productivity Index(Base Period:2016=100),1996 JAN,-
Labor Productivity Index(Base Period:2016=100),1996 FEB,-
Labor Productivity Index(Base Period:2016=100),1996 MAR,-
Labor Productivity Index(Base Period:2016=100),1996 APR,-
Labor Productivity Index(Base Period:2016=100),1996 MAY,-
Labor Productivity Index(Base Period:2016=100),1996 JUN,-
Labor Productivity Index(Base Period:2016=100),1996 JUL,-
Labor Productivity Index(Base Period:2016=100),1996 AUG,-
Labor Productivity Index(Base Period:2016=100),1996 SEP,-
Labor Productivity Index(Base Period:2016=100),1996 OCT,-
Labor Productivity Index(Base Period:2016=100),1996 NOV,-
Labor Productivity Index(Base Period:2016=100),1996 DEC,-
Labor Productivity Index(Base Period:2016=100),1997 JAN,-
Labor Productivity Index(Base Period:2016=100),1997 FEB,-
Labor Productivity Index(Base Period:2016=100),1997 MAR,-
Labor Productivity Index(Base Period:2016=100),1997 APR,-
Labor Productivity Index(Base Period:2016=100),1997 MAY,-
Labor Productivity Index(Base Period:2016=100),1997 JUN,-
Labor Productivity Index(Base Period:2016=100),1997 JUL,-
Labor Productivity Index(Base Period:2016=100),1997 AUG,-
Labor Productivity Index(Base Period:2016=100),1997 SEP,-
Labor Productivity Index(Base Period:2016=100),1997 OCT,-
Labor Productivity Index(Base Period:2016=100),1997 NOV,-
Labor Productivity Index(Base Period:2016=100),1997 DEC,-
Labor Productivity Index(Base Period:2016=100),1998 JAN,-
Labor Productivity Index(Base Period:2016=100),1998 FEB,-
Labor Productivity Index(Base Period:2016=100),1998 MAR,-
Labor Productivity Index(Base Period:2016=100),1998 APR,-
Labor Productivity Index(Base Period:2016=100),1998 MAY,-
Labor Productivity Index(Base Period:2016=100),1998 JUN,-
Labor Productivity Index(Base Period:2016=100),1998 JUL,-
Labor Productivity Index(Base Period:2016=100),1998 AUG,-
Labor Productivity Index(Base Period:2016=100),1998 SEP,-
Labor Productivity Index(Base Period:2016=100),1998 OCT,-
Labor Productivity Index(Base Period:2016=100),1998 NOV,-
Labor Productivity Index(Base Period:2016=100),1998 DEC,-
Labor Productivity Index(Base Period:2016=100),1999 JAN,-
Labor Productivity Index(Base Period:2016=100),1999 FEB,-
Labor Productivity Index(Base Period:2016=100),1999 MAR,-
Labor Productivity Index(Base Period:2016=100),1999 APR,-
Labor Productivity Index(Base Period:2016=100),1999 MAY,-
Labor Productivity Index(Base Period:2016=100),1999 JUN,-
Labor Productivity Index(Base Period:2016=100),1999 JUL,-
Labor Productivity Index(Base Period:2016=100),1999 AUG,-
Labor Productivity Index(Base Period:2016=100),1999 SEP,-
Labor Productivity Index(Base Period:2016=100),1999 OCT,-
Labor Productivity Index(Base Period:2016=100),1999 NOV,-
Labor Productivity Index(Base Period:2016=100),1999 DEC,-
Labor Productivity Index(Base Period:2016=100),2000 JAN,-
Labor Productivity Index(Base Period:2016=100),2000 FEB,-
Labor Productivity Index(Base Period:2016=100),2000 MAR,-
Labor Productivity Index(Base Period:2016=100),2000 APR,-
Labor Productivity Index(Base Period:2016=100),2000 MAY,-
Labor Productivity Index(Base Period:2016=100),2000 JUN,-
Labor Productivity Index(Base Period:2016=100),2000 JUL,-
Labor Productivity Index(Base Period:2016=100),2000 AUG,-
Labor Productivity Index(Base Period:2016=100),2000 SEP,-
Labor Productivity Index(Base Period:2016=100),2000 OCT,-
Labor Productivity Index(Base Period:2016=100),2000 NOV,-
Labor Productivity Index(Base Period:2016=100),2000 DEC,-
Labor Productivity Index(Base Period:2016=100),2001 JAN,-
Labor Productivity Index(Base Period:2016=100),2001 FEB,-
Labor Productivity Index(Base Period:2016=100),2001 MAR,-
Labor Productivity Index(Base Period:2016=100),2001 APR,-
Labor Productivity Index(Base Period:2016=100),2001 MAY,-
Labor Productivity Index(Base Period:2016=100),2001 JUN,-
Labor Productivity Index(Base Period:2016=100),2001 JUL,-
Labor Productivity Index(Base Period:2016=100),2001 AUG,-
Labor Productivity Index(Base Period:2016=100),2001 SEP,-
Labor Productivity Index(Base Period:2016=100),2001 OCT,-
Labor Productivity Index(Base Period:2016=100),2001 NOV,-
Labor Productivity Index(Base Period:2016=100),2001 DEC,-
Labor Productivity Index(Base Period:2016=100),2002 JAN,-
Labor Productivity Index(Base Period:2016=100),2002 FEB,-
Labor Productivity Index(Base Period:2016=100),2002 MAR,-
Labor Productivity Index(Base Period:2016=100),2002 APR,-
Labor Productivity Index(Base Period:2016=100),2002 MAY,-
Labor Productivity Index(Base Period:2016=100),2002 JUN,-
Labor Productivity Index(Base Period:2016=100),2002 JUL,-
Labor Productivity Index(Base Period:2016=100),2002 AUG,-
Labor Productivity Index(Base Period:2016=100),2002 SEP,-
Labor Productivity Index(Base Period:2016=100),2002 OCT,-
Labor Productivity Index(Base Period:2016=100),2002 NOV,-
Labor Productivity Index(Base Period:2016=100),2002 DEC,-
Labor Productivity Index(Base Period:2016=100),2003 JAN,-
Labor Productivity Index(Base Period:2016=100),2003 FEB,-
Labor Productivity Index(Base Period:2016=100),2003 MAR,-
Labor Productivity Index(Base Period:2016=100),2003 APR,-
Labor Productivity Index(Base Period:2016=100),2003 MAY,-
Labor Productivity Index(Base Period:2016=100),2003 JUN,-
Labor Productivity Index(Base Period:2016=100),2003 JUL,-
Labor Productivity Index(Base Period:2016=100),2003 AUG,-
Labor Productivity Index(Base Period:2016=100),2003 SEP,-
Labor Productivity Index(Base Period:2016=100),2003 OCT,-
Labor Productivity Index(Base Period:2016=100),2003 NOV,-
Labor Productivity Index(Base Period:2016=100),2003 DEC,-
Labor Productivity Index(Base Period:2016=100),2004 JAN,-
Labor Productivity Index(Base Period:2016=100),2004 FEB,-
Labor Productivity Index(Base Period:2016=100),2004 MAR,-
Labor Productivity Index(Base Period:2016=100),2004 APR,-
Labor Productivity Index(Base Period:2016=100),2004 MAY,-
Labor Productivity Index(Base Period:2016=100),2004 JUN,-
Labor Productivity Index(Base Period:2016=100),2004 JUL,-
Labor Productivity Index(Base Period:2016=100),2004 AUG,-
Labor Productivity Index(Base Period:2016=100),2004 SEP,-
Labor Productivity Index(Base Period:2016=100),2004 OCT,-
Labor Productivity Index(Base Period:2016=100),2004 NOV,-
Labor Productivity Index(Base Period:2016=100),2004 DEC,-
Labor Productivity Index(Base Period:2016=100),2005 JAN,-
Labor Productivity Index(Base Period:2016=100),2005 FEB,-
Labor Productivity Index(Base Period:2016=100),2005 MAR,-
Labor Productivity Index(Base Period:2016=100),2005 APR,-
Labor Productivity Index(Base Period:2016=100),2005 MAY,-
Labor Productivity Index(Base Period:2016=100),2005 JUN,-
Labor Productivity Index(Base Period:2016=100),2005 JUL,-
Labor Productivity Index(Base Period:2016=100),2005 AUG,-
Labor Productivity Index(Base Period:2016=100),2005 SEP,-
Labor Productivity Index(Base Period:2016=100),2005 OCT,-
Labor Productivity Index(Base Period:2016=100),2005 NOV,-
Labor Productivity Index(Base Period:2016=100),2005 DEC,-
Labor Productivity Index(Base Period:2016=100),2006 JAN,-
Labor Productivity Index(Base Period:2016=100),2006 FEB,-
Labor Productivity Index(Base Period:2016=100),2006 MAR,-
Labor Productivity Index(Base Period:2016=100),2006 APR,-
Labor Productivity Index(Base Period:2016=100),2006 MAY,-
Labor Productivity Index(Base Period:2016=100),2006 JUN,-
Labor Productivity Index(Base Period:2016=100),2006 JUL,-
Labor Productivity Index(Base Period:2016=100),2006 AUG,-
Labor Productivity Index(Base Period:2016=100),2006 SEP,-
Labor Productivity Index(Base Period:2016=100),2006 OCT,-
Labor Productivity Index(Base Period:2016=100),2006 NOV,-
Labor Productivity Index(Base Period:2016=100),2006 DEC,-
Labor Productivity Index(Base Period:2016=100),2007 JAN,-
Labor Productivity Index(Base Period:2016=100),2007 FEB,-
Labor Productivity Index(Base Period:2016=100),2007 MAR,-
Labor Productivity Index(Base Period:2016=100),2007 APR,-
Labor Productivity Index(Base Period:2016=100),2007 MAY,-
Labor Productivity Index(Base Period:2016=100),2007 JUN,-
Labor Productivity Index(Base Period:2016=100),2007 JUL,-
Labor Productivity Index(Base Period:2016=100),2007 AUG,-
Labor Productivity Index(Base Period:2016=100),2007 SEP,-
Labor Productivity Index(Base Period:2016=100),2007 OCT,-
Labor Productivity Index(Base Period:2016=100),2007 NOV,-
Labor Productivity Index(Base Period:2016=100),2007 DEC,-
Labor Productivity Index(Base Period:2016=100),2008 JAN,-
Labor Productivity Index(Base Period:2016=100),2008 FEB,-
Labor Productivity Index(Base Period:2016=100),2008 MAR,-
Labor Productivity Index(Base Period:2016=100),2008 APR,-
Labor Productivity Index(Base Period:2016=100),2008 MAY,-
Labor Productivity Index(Base Period:2016=100),2008 JUN,-
Labor Productivity Index(Base Period:2016=100),2008 JUL,-
Labor Productivity Index(Base Period:2016=100),2008 AUG,-
Labor Productivity Index(Base Period:2016=100),2008 SEP,-
Labor Productivity Index(Base Period:2016=100),2008 OCT,-
Labor Productivity Index(Base Period:2016=100),2008 NOV,-
Labor Productivity Index(Base Period:2016=100),2008 DEC,-
Labor Productivity Index(Base Period:2016=100),2009 JAN,-
Labor Productivity Index(Base Period:2016=100),2009 FEB,-
Labor Productivity Index(Base Period:2016=100),2009 MAR,-
Labor Productivity Index(Base Period:2016=100),2009 APR,-
Labor Productivity Index(Base Period:2016=100),2009 MAY,-
Labor Productivity Index(Base Period:2016=100),2009 JUN,-
Labor Productivity Index(Base Period:2016=100),2009 JUL,-
Labor Productivity Index(Base Period:2016=100),2009 AUG,-
Labor Productivity Index(Base Period:2016=100),2009 SEP,-
Labor Productivity Index(Base Period:2016=100),2009 OCT,-
Labor Productivity Index(Base Period:2016=100),2009 NOV,-
Labor Productivity Index(Base Period:2016=100),2009 DEC,-
Labor Productivity Index(Base Period:2016=100),2010 JAN,-
Labor Productivity Index(Base Period:2016=100),2010 FEB,-
Labor Productivity Index(Base Period:2016=100),2010 MAR,-
Labor Productivity Index(Base Period:2016=100),2010 APR,-
Labor Productivity Index(Base Period:2016=100),2010 MAY,-
Labor Productivity Index(Base Period:2016=100),2010 JUN,-
Labor Productivity Index(Base Period:2016=100),2010 JUL,-
Labor Productivity Index(Base Period:2016=100),2010 AUG,-
Labor Productivity Index(Base Period:2016=100),2010 SEP,-
Labor Productivity Index(Base Period:2016=100),2010 OCT,-
Labor Productivity Index(Base Period:2016=100),2010 NOV,-
Labor Productivity Index(Base Period:2016=100),2010 DEC,-
Labor Productivity Index(Base Period:2016=100),2011 JAN,-
Labor Productivity Index(Base Period:2016=100),2011 FEB,-
Labor Productivity Index(Base Period:2016=100),2011 MAR,-
Labor Productivity Index(Base Period:2016=100),2011 APR,-
Labor Productivity Index(Base Period:2016=100),2011 MAY,-
Labor Productivity Index(Base Period:2016=100),2011 JUN,-
Labor Productivity Index(Base Period:2016=100),2011 JUL,-
Labor Productivity Index(Base Period:2016=100),2011 AUG,-
Labor Productivity Index(Base Period:2016=100),2011 SEP,-
Labor Productivity Index(Base Period:2016=100),2011 OCT,-
Labor Productivity Index(Base Period:2016=100),2011 NOV,-
Labor Productivity Index(Base Period:2016=100),2011 DEC,-
Labor Productivity Index(Base Period:2016=100),2012 JAN,-
Labor Productivity Index(Base Period:2016=100),2012 FEB,-
Labor Productivity Index(Base Period:2016=100),2012 MAR,-
Labor Productivity Index(Base Period:2016=100),2012 APR,-
Labor Productivity Index(Base Period:2016=100),2012 MAY,-
Labor Productivity Index(Base Period:2016=100),2012 JUN,-
Labor Productivity Index(Base Period:2016=100),2012 JUL,-
Labor Productivity Index(Base Period:2016=100),2012 AUG,-
Labor Productivity Index(Base Period:2016=100),2012 SEP,-
Labor Productivity Index(Base Period:2016=100),2012 OCT,-
Labor Productivity Index(Base Period:2016=100),2012 NOV,-
Labor Productivity Index(Base Period:2016=100),2012 DEC,-
Labor Productivity Index(Base Period:2016=100),2013 JAN,-
Labor Productivity Index(Base Period:2016=100),2013 FEB,-
Labor Productivity Index(Base Period:2016=100),2013 MAR,-
Labor Productivity Index(Base Period:2016=100),2013 APR,-
Labor Productivity Index(Base Period:2016=100),2013 MAY,-
Labor Productivity Index(Base Period:2016=100),2013 JUN,-
Labor Productivity Index(Base Period:2016=100),2013 JUL,-
Labor Productivity Index(Base Period:2016=100),2013 AUG,-
Labor Productivity Index(Base Period:2016=100),2013 SEP,-
Labor Productivity Index(Base Period:2016=100),2013 OCT,-
Labor Productivity Index(Base Period:2016=100),2013 NOV,-
Labor Productivity Index(Base Period:2016=100),2013 DEC,-
Labor Productivity Index(Base Period:2016=100),2014 JAN,-
Labor Productivity Index(Base Period:2016=100),2014 FEB,-
Labor Productivity Index(Base Period:2016=100),2014 MAR,-
Labor Productivity Index(Base Period:2016=100),2014 APR,-
Labor Productivity Index(Base Period:2016=100),2014 MAY,-
Labor Productivity Index(Base Period:2016=100),2014 JUN,-
Labor Productivity Index(Base Period:2016=100),2014 JUL,-
Labor Productivity Index(Base Period:2016=100),2014 AUG,-
Labor Productivity Index(Base Period:2016=100),2014 SEP,-
Labor Productivity Index(Base Period:2016=100),2014 OCT,-
Labor Productivity Index(Base Period:2016=100),2014 NOV,-
Labor Productivity Index(Base Period:2016=100),2014 DEC,-
Labor Productivity Index(Base Period:2016=100),2015 JAN,-
Labor Productivity Index(Base Period:2016=100),2015 FEB,-
Labor Productivity Index(Base Period:2016=100),2015 MAR,-
Labor Productivity Index(Base Period:2016=100),2015 APR,-
Labor Productivity Index(Base Period:2016=100),2015 MAY,-
Labor Productivity Index(Base Period:2016=100),2015 JUN,-
Labor Productivity Index(Base Period:2016=100),2015 JUL,-
Labor Productivity Index(Base Period:2016=100),2015 AUG,-
Labor Productivity Index(Base Period:2016=100),2015 SEP,-
Labor Productivity Index(Base Period:2016=100),2015 OCT,-
Labor Productivity Index(Base Period:2016=100),2015 NOV,-
Labor Productivity Index(Base Period:2016=100),2015 DEC,-
Labor Productivity Index(Base Period:2016=100),2016 JAN,-
Labor Productivity Index(Base Period:2016=100),2016 FEB,-
Labor Productivity Index(Base Period:2016=100),2016 MAR,-
Labor Productivity Index(Base Period:2016=100),2016 APR,-
Labor Productivity Index(Base Period:2016=100),2016 MAY,-
Labor Productivity Index(Base Period:2016=100),2016 JUN,-
